Core developers;Peripheral developers;Issues reporters;Discussions contributors
20;1854;5181;665
20;6437;6709;1507
20;600;954;1805
50;1558;1507;167
40;1558;1504;167
30;669;567;247
60;1189;832;598
70;252;2426;2414
50;595;811;405
58;777;1413;471
50;964;2589;221
30;681;1541;251
23;674;1417;249
25;674;469;115
32;360;546;58
23;617;1223;193
37;1302;3692;338
47;211;329;86
51;408;348;135
49;614;3239;205
46;391;1354;221
45;586;850;105
45;356;329;191
44;436;816;187
44;318;46;106
42;462;944;197
40;291;694;112
36;187;123;7
35;580;1023;485
35;587;964;87
34;1549;4835;937
31;3933;8498;16968
31;357;520;191
31;362;236;61
30;359;710;169
29;225;325;124
29;584;644;78
27;415;612;140
27;199;276;497
27;288;913;55
26;269;0;65
26;208;508;9
26;290;777;204
25;568;1407;1525
25;348;1105;347
25;118;388;23
24;2182;4387;883
24;187;373;28
23;160;672;37
22;977;1843;34
22;440;575;73
21;197;366;764
21;206;807;1447
21;367;325;9
21;259;876;177
20;463;3640;3169
20;248;576;191
20;449;4274;69
20;245;558;94
20;258;488;10
19;689;537;278
19;250;679;30
18;307;325;1177
18;1092;8958;366
18;342;478;148
18;581;403;111
18;200;171;58
17;381;861;1656
17;496;354;205
17;141;449;277
17;210;378;152
17;483;2344;112
17;319;1182;92
16;199;536;150
16;494;3076;62
16;194;472;32
15;837;1481;139
13;383;1205;2622
13;596;2504;651
13;377;576;373
13;120;351;182
13;121;447;198
13;148;152;5
13;892;4691;388
13;689;2679;113
13;352;1039;70
12;449;830;436
12;214;250;44
12;291;390;38
12;113;504;52
12;312;1603;49
11;186;760;446
11;327;2206;109
11;539;749;39
11;160;668;148
11;236;1305;187
11;371;846;49
11;154;986;62
10;551;873;637
10;376;1831;195
10;646;566;38
10;846;1194;114
10;56;464;40
10;99;179;14
10;391;1569;127
10;357;1101;58
9;386;1264;808
9;322;819;605
9;481;594;448
9;285;291;299
9;139;187;111
9;104;176;13
9;114;475;401
9;226;1911;190
9;182;376;111
9;260;433;52
8;555;1818;1338
8;155;286;381
8;161;2104;104
8;336;480;85
8;101;364;12
8;72;164;56
8;189;140;20
8;105;582;588
8;313;1182;212
8;143;378;222
7;228;842;168
7;27;96;4
7;85;136;9
7;239;929;8
7;55;897;47
7;520;1041;72
7;22;617;43
7;71;190;30
7;103;92;6
7;478;968;110
6;254;2135;3111
6;299;335;252
6;283;345;148
6;107;117;163
6;142;364;238
6;95;339;69
6;121;355;29
6;163;1937;378
6;142;1002;3
6;182;734;29
6;82;351;39
6;186;233;59
6;97;275;43
6;40;214;1590
6;498;6683;2878
6;234;298;248
6;316;454;178
6;163;405;74
6;132;418;27
6;182;678;56
5;1193;4944;425
5;97;199;16
5;92;201;7
5;91;190;34
5;65;111;6
5;143;743;26
5;115;668;12
5;299;1074;39
5;79;1041;4
5;262;2545;91
5;197;363;72
5;140;1303;24
4;392;454;579
4;4547;11840;838
4;171;287;115
4;90;365;47
4;40;34;5
4;434;689;164
4;179;314;118
4;436;1133;14
4;105;472;50
4;116;560;61
4;135;46;7
4;57;249;44
4;769;2934;1211
4;179;534;211
4;109;453;249
4;107;548;116
4;127;484;105
4;84;323;117
4;245;236;78
4;34;165;20
3;442;2147;5476
3;213;371;772
3;396;1275;477
3;187;686;303
3;182;778;42
3;258;659;91
3;197;142;61
3;58;362;79
3;77;265;17
3;62;341;3
3;232;1814;81
3;900;2543;1403
3;263;1378;298
3;403;974;154
3;103;368;94
3;168;553;248
3;235;901;197
3;199;1270;227
3;273;847;99
3;207;655;208
3;123;477;101
3;63;234;14
3;73;126;12
3;86;102;44
2;199;1441;1701
2;89;879;951
2;142;349;822
2;500;1145;151
2;393;414;183
2;77;389;71
2;2263;3120;34
2;153;551;53
2;68;110;15
2;45;230;65
2;37;140;13
2;33;511;25
2;116;639;190
2;61;284;37
2;39;348;26
2;278;1945;66
2;515;1011;21
2;203;1443;1299
2;531;2507;1047
2;163;849;238
2;114;1918;278
2;103;507;131
2;114;233;55
2;262;258;230
2;121;1114;245
2;56;768;199
2;287;737;183
2;159;221;59
2;94;310;65
2;72;905;71
2;55;161;48
2;103;1387;76
2;154;336;40
2;69;700;29
1;140;2195;419
1;134;838;204
1;46;107;11
1;99;132;3
1;95;930;50
1;11;61;18
1;13;146;43
1;46;79;15
1;34;428;50
1;53;1189;36
1;49;92;38
1;87;512;10
1;137;931;85
1;212;1934;327
1;123;399;58
1;45;847;464
1;112;122;4
1;30;593;33
1;187;678;18
1;73;459;91
1;90;212;20
1;106;800;327
1;110;991;166
1;736;2560;177
1;196;707;191
1;177;292;125
1;404;1402;189
1;207;789;155
1;244;504;167
1;15;135;102
1;115;255;32
1;20;87;40
1;91;313;44
1;162;535;90
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
