Core developers;Peripheral developers;Issues reporters;Discussions contributors
31;3933;8498;16968
3;442;2147;5476
123;252;2426;2414
8;555;1818;1338
13;383;1205;2622
6;254;2135;3111
2;199;1441;1701
2;89;879;951
17;381;861;1656
194;600;954;1805
213;6437;6709;1507
18;307;325;1177
25;568;1407;1525
34;1549;4835;937
3;213;371;772
4;392;454;579
9;386;1264;808
13;596;2504;651
4;4547;11840;838
25;348;1105;347
21;197;366;764
12;449;830;436
10;551;873;637
9;322;819;605
3;396;1275;477
24;2182;4387;883
21;206;807;1447
31;357;520;191
364;1854;5181;665
20;463;3640;3169
18;1092;8958;366
2;142;349;822
3;187;686;303
6;299;335;252
9;481;594;448
49;614;3239;205
35;580;1023;485
13;377;576;373
128;1189;832;598
67;1302;3692;338
112;595;811;405
17;496;354;205
11;186;760;446
5;1193;4944;425
6;283;345;148
16;199;536;150
2;500;1145;151
6;107;117;163
8;155;286;381
10;376;1831;195
6;142;364;238
17;141;449;277
93;674;1417;249
20;248;576;191
138;669;567;247
2;393;414;183
18;342;478;148
4;171;287;115
9;285;291;299
19;689;537;278
44;436;816;187
16;494;3076;62
17;210;378;152
2;77;389;71
81;617;1223;193
8;161;2104;104
15;837;1481;139
46;391;1354;221
18;581;403;111
9;139;187;111
7;228;842;168
27;415;612;140
26;269;0;65
1;140;2195;419
17;483;2344;112
27;199;276;497
85;674;469;115
35;587;964;87
13;120;351;182
10;646;566;38
24;187;373;28
4;90;365;47
8;336;480;85
8;101;364;12
12;214;250;44
36;187;123;7
3;182;778;42
2;2263;3120;34
21;367;325;9
5;97;199;16
1;134;838;204
3;258;659;91
2;153;551;53
5;92;201;7
6;95;339;69
30;359;710;169
6;121;355;29
1;46;107;11
5;91;190;34
4;40;34;5
7;27;96;4
22;977;1843;34
4;434;689;164
1;99;132;3
6;163;1937;378
1;95;930;50
16;194;472;32
3;197;142;61
7;85;136;9
10;846;1194;114
27;288;913;55
4;179;314;118
3;58;362;79
1;11;61;18
4;436;1133;14
12;291;390;38
1;13;146;43
1;46;79;15
1;34;428;50
5;65;111;6
0;0;0;0
19;250;679;30
1;53;1189;36
2;68;110;15
8;72;164;56
13;121;447;198
6;142;1002;3
7;239;929;8
7;55;897;47
2;45;230;65
1;49;92;38
1;87;512;10
6;182;734;29
5;143;743;26
3;77;265;17
4;105;472;50
8;189;140;20
4;116;560;61
11;327;2206;109
20;449;4274;69
7;520;1041;72
7;22;617;43
1;137;931;85
10;56;464;40
20;245;558;94
3;62;341;3
104;964;2589;221
1;212;1934;327
11;539;749;39
3;232;1814;81
7;71;190;30
6;82;351;39
5;115;668;12
18;200;171;58
2;37;140;13
1;123;399;58
6;186;233;59
0;0;0;0
65;211;329;86
108;777;1413;471
29;225;325;124
1;45;847;464
10;99;179;14
0;0;0;0
2;33;511;25
1;112;122;4
1;30;593;33
2;116;639;190
1;187;678;18
13;148;152;5
1;73;459;91
4;135;46;7
7;103;92;6
0;0;0;0
1;90;212;20
2;61;284;37
6;97;275;43
2;39;348;26
2;278;1945;66
4;57;249;44
22;440;575;73
0;0;0;0
26;208;508;9
2;515;1011;21
5;299;1074;39
9;104;176;13
6;40;214;1590
3;900;2543;1403
6;498;6683;2878
4;769;2934;1211
2;203;1443;1299
2;531;2507;1047
8;105;582;588
1;106;800;327
13;892;4691;388
4;179;534;211
1;110;991;166
9;114;475;401
3;263;1378;298
45;586;850;105
5;79;1041;4
6;234;298;248
3;403;974;154
2;163;849;238
6;316;454;178
11;160;668;148
9;226;1911;190
4;109;453;249
26;290;777;204
10;391;1569;127
11;236;1305;187
4;107;548;116
40;291;694;112
3;103;368;94
2;114;1918;278
42;462;944;197
97;681;1541;251
45;356;329;191
2;103;507;131
7;478;968;110
3;168;553;248
1;736;2560;177
159;1558;1507;167
159;1558;1504;167
1;196;707;191
2;114;233;55
1;177;292;125
1;404;1402;189
8;313;1182;212
2;262;258;230
3;235;901;197
8;143;378;222
2;121;1114;245
2;56;768;199
1;207;789;155
4;127;484;105
3;199;1270;227
2;287;737;183
51;408;348;135
9;182;376;111
2;159;221;59
1;244;504;167
6;163;405;74
3;273;847;99
3;207;655;208
12;113;504;52
31;362;236;61
3;123;477;101
21;259;876;177
23;160;672;37
13;689;2679;113
6;132;418;27
2;94;310;65
5;262;2545;91
1;15;135;102
17;319;1182;92
29;584;644;78
1;115;255;32
4;84;323;117
5;197;363;72
2;72;905;71
4;245;236;78
44;318;46;106
1;20;87;40
11;371;846;49
2;55;161;48
13;352;1039;70
9;260;433;52
6;182;678;56
5;140;1303;24
12;312;1603;49
2;103;1387;76
2;154;336;40
25;118;388;23
4;34;165;20
11;154;986;62
1;91;313;44
20;258;488;10
82;360;546;58
10;357;1101;58
2;69;700;29
1;162;535;90
3;63;234;14
3;73;126;12
3;86;102;44
